phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,28,N/A,P_cost,1309.0504202236607,1.547456516800794,1307.7217846994351,1311.9796679771296,1309.0504202236607,1.547456516800794,1307.7217846994351,1311.9796679771296,451.39669662884853,0.5336056954485495,450.9385464480811,452.4067820610792,365,19998.42627751147,0,2.257161090402653,0.0026682384305838983
2,29,N/A,P_cost,1310.6535215281442,1.5734080961164212,1309.3621283393525,1313.5932685026944,1310.6535215281442,1.5734080961164212,1309.3621283393525,1313.5932685026944,451.94949018211867,0.5425545159022142,451.5041821859836,452.9631960354119,365,20023.66864674983,0,2.25707635376536,0.0027095659914961674
2,30,N/A,P_cost,1311.994870166221,1.5957002632166912,1310.7128328936594,1314.9558763719765,1311.994870166221,1.5957002632166912,1310.7128328936594,1314.9558763719765,452.41202419524865,0.5502414700747208,451.96994237712397,453.433060817923,365,20044.771722016147,0,2.2570076150996647,0.0027450622920807007
2,31,N/A,P_cost,1313.1200245349753,1.6209507189081176,1311.844430685954,1316.1068436212945,1313.1200245349753,1.6209507189081176,1311.844430685954,1316.1068436212945,452.80000846033636,0.5589485237614198,452.36014851239787,453.82994607630843,365,20062.41189294401,0,2.256956994386039,0.0027860484907998692
2,1,N/A,Es,,,,,,,,,,,,,0,6072.85586571626,0,,
2,2,N/A,Es,523.4374077892544,49.42829507786465,407.36643906942106,638.8585509195549,523.4374077892544,49.42829507786465,407.36643906942106,638.8585509195549,180.4956578583636,17.044239682022294,140.47118588600725,220.29605204122583,365,7675.179520625737,0,2.3516799492873393,0.22206958985413702
2,3,N/A,Es,622.6389561753945,60.14480235198453,481.5454921625882,762.8210382907336,622.6389561753945,60.14480235198453,481.5454921625882,762.8210382907336,214.70308833634292,20.7395870179257,166.0501697112373,263.04173734163226,365,9210.791417666447,0,2.3309950100980346,0.2251661782086047
2,4,N/A,Es,714.4479707552875,70.72831953308825,548.2859708203478,879.1497314045387,714.4479707552875,70.72831953308825,548.2859708203478,879.1497314045387,246.36136922596123,24.389075701064918,189.06412786908544,303.15507979466855,365,10639.339994278627,0,2.315570038728376,0.22923485586681408
2,5,N/A,Es,797.6047615393296,80.78391536562792,607.8796684644365,985.5247761305044,797.6047615393296,80.78391536562792,607.8796684644365,985.5247761305044,275.0361246687344,27.856522539871698,209.61367878084016,339.83612970017396,365,11939.114939596924,0,2.3036558912466574,0.23332150398756576
2,6,N/A,Es,871.682913227019,89.95673746231566,660.4182633108328,1080.9447465575415,871.682913227019,89.95673746231566,660.4182633108328,1080.9447465575415,300.5803149058686,31.019564642177816,227.7304356244251,372.73956777846263,365,13101.81252962314,0,2.2941887943080994,0.2367578117305733
2,7,N/A,Es,936.8329051500268,98.09289307413397,706.3741813765278,1165.0624019404552,936.8329051500268,98.09289307413397,706.3741813765278,1165.0624019404552,323.0458293620782,33.825135542804816,243.57730392294062,401.74565584153635,365,14128.199527463556,0,2.2865321850396803,0.23941575483169483
2,8,N/A,Es,993.6986492888351,105.17254403089912,746.361817270025,1238.69220386052,993.6986492888351,105.17254403089912,746.361817270025,1238.69220386052,342.65470665132244,36.26639449341349,257.3661438862155,427.13524271052415,365,15025.054546560485,0,2.280555492091458,0.24137279755643581
2,9,N/A,Es,1042.8279780844564,111.22280455048595,781.1496869604538,1301.9599629548898,1042.8279780844564,111.22280455048595,781.1496869604538,1301.9599629548898,359.59585451188156,38.3526912243055,269.36196102084614,448.9517113637551,365,15802.21989854219,0,2.275603407753208,0.24270445209943997
2,10,N/A,Es,1085.0915711416358,116.43175281411457,810.7314867565735,1356.280994595564,1085.0915711416358,116.43175281411457,810.7314867565735,1356.280994595564,374.16950729021926,40.148880280729166,279.5625816401978,467.6831015846773,365,16471.25524485279,0,2.2716514420304788,0.24375118765326373
2,11,N/A,Es,1121.2316440971556,120.82134124742203,836.6769039571957,1402.4152710184583,1121.2316440971556,120.82134124742203,836.6769039571957,1402.4152710184583,386.6316014128123,41.66253146462829,288.50927722661925,483.59147276498567,365,17044.13686263004,0,2.2684140859049178,0.24443908072561346
2,12,N/A,Es,1152.0320624144222,124.56392737921522,858.9604846284025,1441.4255095089532,1152.0320624144222,124.56392737921522,858.9604846284025,1441.4255095089532,397.252435315318,42.953078406625934,296.1932705615181,497.04327914101833,365,17532.564883176387,0,2.2657976055546047,0.24499027206134655
2,13,N/A,Es,1178.1861592628127,127.73022627116414,877.9448561525388,1474.962375018697,1178.1861592628127,127.73022627116414,877.9448561525388,1474.962375018697,406.2710894009699,44.04490561074626,302.739605569841,508.6077155236887,365,17947.517365664335,0,2.263661770726091,0.24540946089295465
2,14,N/A,Es,1200.3450655196161,130.43678989437706,893.9514105501321,1503.3257236870786,1200.3450655196161,130.43678989437706,893.9514105501321,1503.3257236870786,413.9120915584883,44.97820341185416,308.25910708625247,518.3881805817513,365,18299.027763530143,0,2.2619348793131664,0.2457955908537144
2,15,N/A,Es,1219.0841950164693,132.7401301450804,907.3574554906969,1527.4044658497223,1219.0841950164693,132.7401301450804,907.3574554906969,1527.4044658497223,420.3738603505067,45.77245867071737,312.8818812036886,526.691195120594,365,18596.10321716741,0,2.2605481129101777,0.24614005491463128
2,16,N/A,Es,1234.8875069820895,134.73078560896815,918.383524908569,1547.9610572714453,1234.8875069820895,134.73078560896815,918.383524908569,1547.9610572714453,425.823278269686,46.458891589299355,316.6839741064031,533.7796749211881,365,18846.663912909844,0,2.2594093057392497,0.24650989588388275
2,17,N/A,Es,1248.2114722048855,136.43390314409078,927.6706857413385,1565.2868585226545,1248.2114722048855,136.43390314409078,927.6706857413385,1565.2868585226545,430.41774903616744,47.046173497962336,319.88644335908225,539.7540891457429,365,19057.66679204026,0,2.2585018078705117,0.24686218943450056
2,18,N/A,Es,1259.4148382858114,137.90238890950593,935.4631797619484,1579.8546285366797,1259.4148382858114,137.90238890950593,935.4631797619484,1579.8546285366797,434.28097871924535,47.552547899829634,322.5735102627408,544.7774581160965,365,19235.108619679897,0,2.2577516316956077,0.24721746489737775
2,19,N/A,Es,1268.8432807551853,139.18693673896485,942.0058202408073,1592.100078061249,1268.8432807551853,139.18693673896485,942.0058202408073,1592.100078061249,437.53216577765016,47.995495427229265,324.82959318648534,549.0000269176721,365,19384.1694975783,0,2.2571622985050346,0.24760150510046577
2,20,N/A,Es,1276.7500566658678,140.28069881310742,947.2849493298671,1602.4929333194898,1276.7500566658678,140.28069881310742,947.2849493298671,1602.4929333194898,440.25864022960957,48.37265476314049,326.6499825275404,552.5837701101689,365,19509.264751435097,0,2.256664440402472,0.24794709272466153
2,21,N/A,Es,1283.384227146804,141.22686760677894,951.578309148268,1611.5614070754295,1283.384227146804,141.22686760677894,951.578309148268,1611.5614070754295,442.5462852230359,48.69891986440653,328.13045143043723,555.7108300260102,365,19614.163674665208,0,2.256258755476046,0.24828445745718378
2,22,N/A,Es,1288.9522044367206,142.0348333022055,955.1297348543224,1619.0177566864418,1288.9522044367206,142.0348333022055,955.1297348543224,1619.0177566864418,444.4662773919727,48.977528724898455,329.3550809842491,558.2819850642903,365,19702.079708881447,0,2.255935840070797,0.24859065361927254
